"L"	"PA"	"SA"	"AD"	"RV"	"Ti"	"Fo"	"Cr"	"L_PR"	"PA_PR"	"SA_PR"	"AD_PR"	"RV_PR"	"Ti_PR"	"Fo_PR"	"Cr_PR"
"L"	NA	0	0	1.37667655053519e-14	0	0	0	0.334308307848413	0	0	0	0	0	0	0	0.878495979406655
"PA"	0	NA	0	0.108845565850315	0	0	0	0.262977203539027	0	0	0	0.0037314542565392	0	0	0	0.678177563622342
"SA"	0	0	NA	0.114561102736243	0	0	0	0.263151684923584	0	0	0	0.00406991089301201	0	0	0	0.678845431689635
"AD"	1.37667655053519e-14	0.108845565850315	0.114561102736243	NA	4.04892974641413e-05	0	0	0.309284034018138	0	0.000202881642950459	0.000108529995828111	0	0.0413308878218459	0	0	0.234940961856191
"RV"	0	0	0	4.04892974641413e-05	NA	0	0	0.262319341942703	0	0	0	0.0197069518135544	0	4.7532637803549e-07	1.01212729308742e-08	0.486699022605475
"Ti"	0	0	0	0	0	NA	0	0.761665127473567	0	0	0	0	4.90673399689001e-08	0	0	0.361324627867721
"Fo"	0	0	0	0	0	0	NA	0.814602299216252	0	0	0	0	2.01616501271928e-13	0	0	0.482393337593884
"Cr"	0.334308307848413	0.262977203539027	0.263151684923584	0.309284034018138	0.262319341942703	0.761665127473567	0.814602299216252	NA	0.613024380800228	0.581623404439235	0.581470637459638	0.357706228811451	0.634099514779645	0.744969990141904	0.76340265577053	0.97907565461758
"L_PR"	0	0	0	0	0	0	0	0.613024380800228	NA	0	0	0	0	0	0	0.283470966206537
"PA_PR"	0	0	0	0.000202881642950459	0	0	0	0.581623404439235	0	NA	0	4.0431798988827e-06	0	0	0	0.328948320462244
"SA_PR"	0	0	0	0.000108529995828111	0	0	0	0.581470637459638	0	0	NA	2.45780297358777e-06	0	0	0	0.330226331542063
"AD_PR"	0	0.0037314542565392	0.00406991089301201	0	0.0197069518135544	0	0	0.357706228811451	0	4.0431798988827e-06	2.45780297358777e-06	NA	0.194750337368702	0	0	0.349962157694432
"RV_PR"	0	0	0	0.0413308878218459	0	4.90673399689001e-08	2.01616501271928e-13	0.634099514779645	0	0	0	0.194750337368702	NA	6.3860028376439e-13	0	0.522097052746966
"Ti_PR"	0	0	0	0	4.7532637803549e-07	0	0	0.744969990141904	0	0	0	0	6.3860028376439e-13	NA	0	0.0274813988893723
"Fo_PR"	0	0	0	0	1.01212729308742e-08	0	0	0.76340265577053	0	0	0	0	0	0	NA	0.0460299047965993
"Cr_PR"	0.878495979406655	0.678177563622342	0.678845431689635	0.234940961856191	0.486699022605475	0.361324627867721	0.482393337593884	0.97907565461758	0.283470966206537	0.328948320462244	0.330226331542063	0.349962157694432	0.522097052746966	0.0274813988893723	0.0460299047965993	NA
