"L"	"PA"	"SA"	"AD"	"RV"	"Ti"	"Fo"	"Cr"	"L_PR"	"PA_PR"	"SA_PR"	"AD_PR"	"RV_PR"	"Ti_PR"	"Fo_PR"	"Cr_PR"
"L"	1	0.912028577299948	0.91106186652825	-0.415096162237265	0.724436213625388	0.83448799291148	0.901696256224643	-0.0544876322161324	0.800809442990198	0.743456627685521	0.752429427064708	-0.451738932725084	0.57703547934133	0.706407377489363	0.69490640641589	-0.0086340083792963
"PA"	0.912028577299948	1	0.999406783422286	-0.0903719844233991	0.926557040934092	0.674138849020816	0.727835212621577	-0.063157560882957	0.674818202477396	0.758234700327489	0.748542778331753	-0.162695007487859	0.724781129881678	0.5053152319122	0.496283621320569	-0.0234324890273316
"SA"	0.91106186652825	0.999406783422286	1	-0.0889469964712581	0.926464015158369	0.671109651478042	0.726639016813195	-0.063134526442099	0.673498410887458	0.757174864279962	0.747503221667959	-0.161182346992971	0.724203325845172	0.502974042884346	0.49556842416393	-0.0233809945933076
"AD"	-0.415096162237265	-0.0903719844233991	-0.0889469964712581	1	0.228743501100654	-0.543876322949955	-0.503448012232655	0.057375523298872	-0.461822803395862	-0.207549735035995	-0.21602267965042	0.916476337107498	0.114845064713652	-0.586566797083589	-0.485438910609081	-0.0670052900768762
"RV"	0.724436213625388	0.926557040934092	0.926464015158369	0.228743501100654	1	0.448410655446249	0.511396331320787	-0.0632445040971198	0.499673376312996	0.675131414066575	0.667162538650348	0.131131295391133	0.769523759521688	0.278767076993178	0.315258204973435	-0.0392693173764221
"Ti"	0.83448799291148	0.674138849020816	0.671109651478042	-0.543876322949955	0.448410655446249	1	0.9076465563282	-0.0171282977010993	0.634713598021373	0.500642995857081	0.50613181237832	-0.529876138023244	0.300900527612428	0.851341767440818	0.682275344165471	0.051521545724081
"Fo"	0.901696256224643	0.727835212621577	0.726639016813195	-0.503448012232655	0.511396331320787	0.9076465563282	1	-0.0132431625206524	0.751333615391519	0.604094178889739	0.631417911240939	-0.499681587589989	0.39774195238681	0.829359797910758	0.833719423111764	0.0396579848675775
"Cr"	-0.0544876322161324	-0.063157560882957	-0.063134526442099	0.057375523298872	-0.0632445040971198	-0.0171282977010993	-0.0132431625206524	1	-0.0285586553120711	-0.0311128065095632	-0.0311253844948832	0.0519105018784847	-0.0268767800435806	0.018369621446608	0.0169995904431038	0.00148129760541732
"L_PR"	0.800809442990198	0.674818202477396	0.673498410887458	-0.461822803395862	0.499673376312996	0.634713598021373	0.751333615391519	-0.0285586553120711	1	0.914278886584551	0.931510391670347	-0.504134978113158	0.715197076068012	0.789083101481913	0.865770737930853	0.0605204301127229
"PA_PR"	0.743456627685521	0.758234700327489	0.757174864279962	-0.207549735035995	0.675131414066575	0.500642995857081	0.604094178889739	-0.0311128065095632	0.914278886584551	1	0.99215888915377	-0.255967022294391	0.916586111660415	0.622970799150982	0.707172388663396	0.0550940872573705
"SA_PR"	0.752429427064708	0.748542778331753	0.747503221667959	-0.21602267965042	0.667162538650348	0.50613181237832	0.631417911240939	-0.0311253844948832	0.931510391670347	0.99215888915377	1	-0.261459558237835	0.904700059343033	0.63940553521028	0.750718332593708	0.0549489127263454
"AD_PR"	-0.451738932725084	-0.162695007487859	-0.161182346992971	0.916476337107498	0.131131295391133	-0.529876138023244	-0.499681587589989	0.0519105018784847	-0.504134978113158	-0.255967022294391	-0.261459558237835	1	0.0731345857934614	-0.596315402698885	-0.472318432046805	-0.0527513163268031
"RV_PR"	0.57703547934133	0.724781129881678	0.724203325845172	0.114845064713652	0.769523759521688	0.300900527612428	0.39774195238681	-0.0268767800435806	0.715197076068012	0.916586111660415	0.904700059343033	0.0731345857934614	1	0.389992758380877	0.499825032906394	0.0361408069799562
"Ti_PR"	0.706407377489363	0.5053152319122	0.502974042884346	-0.586566797083589	0.278767076993178	0.851341767440818	0.829359797910758	0.018369621446608	0.789083101481913	0.622970799150982	0.63940553521028	-0.596315402698885	0.389992758380877	1	0.860314414215344	0.124031332084239
"Fo_PR"	0.69490640641589	0.496283621320569	0.49556842416393	-0.485438910609081	0.315258204973435	0.682275344165471	0.833719423111764	0.0169995904431038	0.865770737930853	0.707172388663396	0.750718332593708	-0.472318432046805	0.499825032906394	0.860314414215344	1	0.112323930394748
"Cr_PR"	-0.0086340083792963	-0.0234324890273316	-0.0233809945933076	-0.0670052900768762	-0.0392693173764221	0.051521545724081	0.0396579848675775	0.00148129760541732	0.0605204301127229	0.0550940872573705	0.0549489127263454	-0.0527513163268031	0.0361408069799562	0.124031332084239	0.112323930394748	1
