"DPRMaZ"	"SAPRMaZ"	"SDAPRMaZ"	"SSAPRMaZ"	"CDPRMaZ"	"CSAPRMaZ"	"XNPRMaZ"	"XADPRMaZ"	"XASAPRMaZ"	"PNPRMaZ"	"PADPRMaZ"	"PASAPRMaZ"	"DPRMZ"	"SAPRMZ"	"SDAPRMZ"	"SSAPRMZ"	"CDPRMZ"	"CSAPRMZ"	"XNPRMZ"	"XADPRMZ"	"XASAPRMZ"	"PNPRMZ"	"PADPRMZ"	"PASAPRMZ"	"DPREZ"	"SAPREZ"	"SDAPREZ"	"SSAPREZ"	"CDPREZ"	"CSAPREZ"	"XNPREZ"	"XADPREZ"	"XASAPREZ"	"PNPREZ"	"PADPREZ"	"PASAPREZ"	"DLRMaZ"	"SALRMaZ"	"SDALRMaZ"	"SSALRMaZ"	"CDLRMaZ"	"CSALRMaZ"	"XNLRMaZ"	"XADLRMaZ"	"XASALRMaZ"	"PNLRMaZ"	"PADLRMaZ"	"PASALRMaZ"	"DLRMZ"	"SALRMZ"	"SDALRMZ"	"SSALRMZ"	"CDLRMZ"	"CSALRMZ"	"XNLRMZ"	"XADLRMZ"	"XASALRMZ"	"PNLRMZ"	"PADLRMZ"	"PASALRMZ"	"DLREZ"	"SALREZ"	"SDALREZ"	"SSALREZ"	"CDLREZ"	"CSALREZ"	"XNLREZ"	"XADLREZ"	"XASALREZ"	"PNLREZ"	"PADLREZ"	"PASALREZ"	"DCRMaZ"	"SACRMaZ"	"SDACRMaZ"	"SSACRMaZ"	"CDCRMaZ"	"CSACRMaZ"	"XNCRMaZ"	"XADCRMaZ"	"XASACRMaZ"	"PNCRMaZ"	"PADCRMaZ"	"PASACRMaZ"	"DCRMZ"	"SACRMZ"	"SDACRMZ"	"SSACRMZ"	"CDCRMZ"	"CSACRMZ"	"XNCRMZ"	"XADCRMZ"	"XASACRMZ"	"PNCRMZ"	"PADCRMZ"	"PASACRMZ"	"DCREZ"	"SACREZ"	"SDACREZ"	"SSACREZ"	"CDCREZ"	"CSACREZ"	"XNCREZ"	"XADCREZ"	"XASACREZ"	"PNCREZ"	"PADCREZ"	"PASACREZ"
"DPRMaZ"	1	0.979647443829513	0.767367701797129	0.664924846529457	0.931468068386752	0.956963980557187	0.228472807762108	0.534262075511519	0.528733634110322	0.354503699399613	0.461190815992621	0.478679965889834	0.666007005243063	0.660189678908055	0.604606443424556	0.517761964373496	0.579594677768729	0.634714721005101	0.229075098785386	0.41467041779288	0.416533174480581	0.356769953914439	0.313638959229647	0.372729641286054	0.776807291399337	0.802561710516156	0.640260643558666	0.528879715853705	0.742368846855306	0.795422196253367	0.0832458637580484	0.569237947381307	0.540079794276567	0.0142364053716979	0.423655740504407	0.456212159145565	0.0524214612514586	0.0754792017191567	-0.0327301048408847	-0.13475051991704	0.117236154823769	0.0474105033397715	-0.00394756766447682	-0.0946036551133934	-0.117893269577442	-0.162522065273132	0.139293502548104	0.158220363434315	0.12324003955501	0.0846290331706801	0.0217822830230343	0.023260255889895	0.175369094451699	0.0918909889152272	0.0195486851556938	0.0425028061841823	0.0574474722198814	0.0432016131916608	-0.0692542273229111	-0.153535014577798	0.178448598093973	0.185957652107787	0.124321386636422	0.116557697491884	0.193220287955806	0.191489465683926	0.0311364722531507	0.0809600528996109	0.00769972318971592	0.0295347527811636	0.21117758275979	0.174281100799111	0.404413880923245	0.443464535915499	0.369184640279002	0.356600624222055	0.281229934013371	0.399711704151282	0.0793615424141125	0.34079234025513	0.160501116827714	0.0716611845959227	0.374819362613346	0.324831257761468	0.521743634150101	0.518927782541072	0.415853342908757	0.31535385707379	0.521630316443929	0.516654390300995	0.055675186780807	0.326647707605167	-0.0264597279847195	0.0937512438725073	0.382557007410859	-0.037514366850145	0.55005566373425	0.530436198666884	0.347919307908815	0.280115394059707	0.590115555201259	0.540235687976596	0.129041658419209	0.31995361706998	0.294077717026589	0.124988124005358	0.247352440976798	0.247755595310484
"SAPRMaZ"	0.979647443829513	1	0.741929314930751	0.635455712924146	0.918082491257475	0.986144416914371	0.189881669735738	0.530933368182737	0.529429792667786	0.319206692158447	0.486972510514112	0.507346392896565	0.626252264010329	0.626834057842989	0.576747128571426	0.518329098655129	0.54021910319316	0.59786846038678	0.182569013157924	0.415886336609829	0.428375056342238	0.31435387180114	0.344937918111912	0.407021839807614	0.743083580204078	0.770423587280958	0.616933309252976	0.515429787119988	0.707617340751712	0.761954660840953	0.0375256635369748	0.576442680366168	0.553911330592552	-0.0221022325196446	0.457612016333946	0.484259735058003	0.0633948598354044	0.0991912356615272	-0.0281333330518425	-0.137181894149486	0.132237345852746	0.0701593720853547	0.0163301608154009	-0.10837932358655	-0.133065256942335	-0.157361378172686	0.135510371782358	0.164276751823358	0.0998775454639961	0.0714157713671034	0.00583005019125049	0.00760696767402635	0.149757683895676	0.0794554590416906	-0.00322073364678201	0.0393502821223589	0.0579037300953582	0.00674262905490866	-0.0465967517771418	-0.125748523759721	0.155822872185331	0.176100434659183	0.127756363264794	0.118776052876169	0.15697220196798	0.180064547215421	0.0242674416108903	0.0862427772050014	0.0138817407190988	0.0281854170096181	0.233361811627732	0.20483418168309	0.407737964722481	0.440157730589099	0.372395539667026	0.365928589487816	0.283391154944862	0.39245792330808	0.0887422771422173	0.341300628579807	0.159479163084466	0.0824108989810468	0.381019439931631	0.332884224285364	0.483843783874729	0.486353262772376	0.412307972531438	0.316900281944254	0.482562644187552	0.478818530002668	0.0292506992489304	0.330989580855303	-0.0334331820983488	0.0772611260415175	0.402285014474177	-0.0610259705409622	0.544529207756578	0.528693404429154	0.346104689343002	0.284943333723706	0.582955572933845	0.536744398374235	0.0818526463039728	0.345956549396928	0.324914587411161	0.104366330026348	0.267763702316739	0.268619534503027
"SDAPRMaZ"	0.767367701797129	0.741929314930751	1	0.836192642523613	0.481492490116592	0.65328951615375	0.426159804155911	0.6526555572574	0.642758892906247	0.47901683289991	0.587120175049338	0.593957425446357	0.557342894907495	0.545518697425292	0.771036115024287	0.704053841297897	0.331115336426437	0.475089954204526	0.397635387261866	0.495672305234028	0.448778231662086	0.588617094625856	0.389884517486703	0.412712669521271	0.691773979638795	0.687836693865058	0.829340266909064	0.707782417483997	0.514780651264429	0.628526162034024	0.351867020007015	0.571965874022158	0.526255497236175	0.155108156588778	0.440897758566328	0.449713166164679	0.123890177934349	0.102257093419608	0.168218651659216	0.0185629106460638	0.0724327090234534	0.101201470248962	0.231016191458776	0.0694149193777998	0.0315410355726558	0.0506710972390509	0.263872785252124	0.235579087206212	0.224183191413648	0.158692337599572	0.264366563705366	0.253544574152392	0.173911835783274	0.138929071991612	0.277088841281283	0.154035287007225	0.158972075069447	0.246648134491871	0.0965195370016116	-0.116342027084098	0.22414882635501	0.205760645200353	0.298595264450911	0.294196104754956	0.155530332430772	0.186803545649372	0.194703235172555	0.202772482416911	0.157432562434801	0.23905775618106	0.267095850875466	0.224353804195387	0.263880332171116	0.325878601137048	0.400155144533776	0.382519747690359	0.0477454852798372	0.250779926004488	0.137523700274552	0.483523096976578	0.211493905151788	0.215171237448224	0.433933299186174	0.403645468605286	0.410443557892797	0.402623019650424	0.533187713017365	0.418141047904282	0.401265982865643	0.356935628471192	0.186443108869744	0.365651898701243	-0.0865225085496909	0.277990609114583	0.301836261891951	0.0349216065096169	0.425661656445926	0.393352373797836	0.484547718802045	0.397175737768701	0.298980957511572	0.344053461983716	0.268235612629026	0.435155039914328	0.418062286055931	0.303847262991511	0.311124164494345	0.284151654260816
"SSAPRMaZ"	0.664924846529457	0.635455712924146	0.836192642523613	1	0.434410736484799	0.498561949334043	0.364285190288612	0.539875414255355	0.558145245136635	0.384300659862835	0.471151171167859	0.526776715101383	0.473379728919372	0.472433791248912	0.676000533952683	0.714531236483977	0.26896982907496	0.392705937117106	0.319563246542797	0.428798819129089	0.402427753472765	0.498531280606832	0.345143854598627	0.367652866503874	0.628569845926178	0.600467666625415	0.686884461750962	0.689757942352376	0.505396635816691	0.533668246058816	0.32103891861723	0.432773313873711	0.395759879054923	0.0950200570756504	0.373853205412534	0.402496485189292	0.0621954811022305	0.0543771247760319	0.0718496142765824	0.0178884557234126	0.0468622070005114	0.050849008726388	0.153911065292252	0.00131248051929493	-0.0144667307940776	-0.000633177843093221	0.143451569499487	0.130105492841306	0.162476051578707	0.079813701193004	0.158480942554058	0.139281684183164	0.147423559384334	0.0680035077708752	0.193556481789787	0.0760353999316446	0.0734884743216388	0.199209989362042	0.0675989042128102	-0.0909995047801244	0.131994755144152	0.0862947018542659	0.177858524942708	0.165989225811883	0.0903483291965442	0.0718775863457346	0.180449969261996	0.064178371881496	0.0198120450266934	0.165090411238826	0.181316575300896	0.126348472459096	0.273465258775058	0.318484824934861	0.36031341919068	0.335932769634513	0.0958311396181863	0.258603796274336	0.141384172988986	0.357709604083335	0.0719131259612571	0.159146731131404	0.411978491751791	0.420343674348314	0.338449750772172	0.35282316785165	0.463966757615094	0.392414538143297	0.329810000014119	0.306205127761164	0.146118231200305	0.412788986036127	-0.0556200953851117	0.173561165762182	0.315360059647794	0.021703852811571	0.28305702973916	0.255767521980361	0.326849148595873	0.191052986616461	0.195423054463157	0.243776608358714	0.191829102619996	0.262249405355427	0.247347122560703	0.186111556204245	0.27485118979702	0.250535347112896
"CDPRMaZ"	0.931468068386752	0.918082491257475	0.481492490116592	0.434410736484799	1	0.93737153969374	0.0704893198537119	0.358884205882275	0.356948729897752	0.212766542846312	0.297256308268022	0.317282311624521	0.593871118521913	0.592563057920921	0.39129509517554	0.310682065922897	0.602652024999521	0.597234797107622	0.0894188516212957	0.286854096627341	0.315536009929997	0.156370743377266	0.208610658859748	0.276147245243418	0.673625141304592	0.711125226757393	0.408944976250592	0.324983608214418	0.726345408085261	0.734819970766492	-0.0845618795735909	0.456919154842948	0.442777380671248	-0.0680408504602843	0.331477025664078	0.371096859540549	0.00219943819314475	0.0457353371771203	-0.138691871731158	-0.194111622340702	0.119347925229035	0.00805410155937556	-0.134562181916833	-0.167807027733776	-0.178383963483764	-0.249932239267079	0.0423734880783725	0.0840014385973236	0.0418790850797227	0.0261025315252737	-0.118376121332071	-0.110312663639632	0.140798099062535	0.0470239012976609	-0.12852912211579	-0.028493076031477	-0.010963051714506	-0.0793752765190511	-0.148055721789512	-0.143369391995182	0.117987409743648	0.139022400466908	-7.71546762536377e-05	-0.00830237227126019	0.178108972804585	0.157644069464215	-0.069289746626016	-0.00485767124458926	-0.0802617736434749	-0.0971319084770076	0.138566619021397	0.112089700211598	0.407493499102012	0.425872651467098	0.280545979282067	0.273277686484115	0.361324858293169	0.408516137538796	0.0307328584792966	0.193428805004377	0.100416611553098	-0.0244973575611468	0.268938988763719	0.217232631645532	0.480240429223139	0.480838570960828	0.265513511847743	0.193488025998983	0.485308323027846	0.503728784904451	-0.0299322872790252	0.238811096845469	0.0130388615681793	-0.0299379970428948	0.351620579428924	-0.0711989874471482	0.508616329072277	0.500201381454892	0.199431508447824	0.156556822193043	0.635207088762069	0.541566674803902	0.0236972457649883	0.189332968813763	0.163741718764044	-0.00205660042680984	0.160733122956443	0.176601068120563
"CSAPRMaZ"	0.956963980557187	0.986144416914371	0.65328951615375	0.498561949334043	0.93737153969374	1	0.13490963189084	0.479431739383046	0.473814434276642	0.275798528109392	0.445484577351969	0.456406873241567	0.603269138186377	0.604112126433969	0.506636487860422	0.433502225448995	0.548812463977143	0.588001664509894	0.138848706279661	0.377290646694713	0.39662292429519	0.249617136727758	0.315068192768622	0.379852851695181	0.699227109761739	0.7359585568489	0.54507151840978	0.430496638694134	0.68586946551705	0.740800428199823	-0.0268359067731721	0.554201197178704	0.536856594815996	-0.0452263667401963	0.433447749473905	0.457211865628951	0.0575494538634976	0.0994259516477688	-0.047266761919555	-0.157844845940939	0.13814998515373	0.0676190744856946	-0.0153010844323521	-0.121903023106303	-0.146156618647716	-0.176442444031539	0.120720392209811	0.155915951947364	0.0768620588901983	0.0628153339091799	-0.0277057169958421	-0.0215655254848262	0.13603191137028	0.0743798550934529	-0.0454304336292053	0.0276849935749637	0.0490344316375146	-0.0354826084777788	-0.066842237709586	-0.121307689641958	0.146597867819525	0.179692383669958	0.104668131979428	0.0971696737699821	0.157180632358611	0.187384487374831	-0.0128150347014136	0.083115887141067	0.0112646066862031	-0.00496494633902619	0.22319357411426	0.203221859203821	0.399542975566998	0.426262675582393	0.340932607308429	0.338942955713002	0.298134814075216	0.385570651618389	0.0692023208962984	0.306504050704085	0.163875564401379	0.0582245418618206	0.339431743951661	0.283447388759691	0.469656736233019	0.4693323236323	0.361813885249178	0.270256876075786	0.470107142829944	0.4710636598157	0.000904339251525962	0.281631937723329	-0.0254014937037787	0.0488503080082056	0.383060151648793	-0.0733228565079874	0.549288549392681	0.537266953782093	0.318654673477331	0.278529254234861	0.610369059725695	0.548743248564257	0.0516069693190726	0.331887393071439	0.311483713433797	0.0779304997139142	0.241967374734257	0.247966113907283
"XNPRMaZ"	0.228472807762108	0.189881669735738	0.426159804155911	0.364285190288612	0.0704893198537119	0.13490963189084	1	-0.117473095414125	-0.118608837026757	0.45270136987527	0.0340262227500144	0.0961269766968957	0.0610549138284869	0.0716850652665018	0.252079230255242	0.219851524709242	-0.0610517496801757	0.0396676516278424	0.620261468596524	-0.0270349474367159	-0.0635091618779763	0.394210778938945	0.0308263852348795	0.0512470224500047	0.0839802736165478	0.103150395721214	0.220219642519253	0.209053717242421	-0.00499802230303206	0.0727473341716266	0.542466074553876	-0.0827542103462667	-0.0822363609726238	0.130614376453258	-0.044473219770035	0.0146889170979144	-0.19193612397873	-0.164180022480846	-0.145248112190985	-0.0704133947835169	-0.208349691993448	-0.18124714649836	0.133625346375588	-0.211681864427016	-0.266833215612308	-0.0976355724582922	-0.0098403966039408	-0.0714835112616968	-0.107895825557876	-0.156493460320826	-0.0685279831360735	-0.0631589840357547	-0.121603635402914	-0.166718516010952	0.134150404449233	-0.0864092698356463	-0.117201002171749	0.0924778416077133	-0.206934410096104	-0.335776057942666	-0.0266547771481611	-0.0496260261925955	0.0423240443982432	0.0317983175586951	-0.0661293992890118	-0.0606498241228005	0.16572548260468	-0.0830716133724567	-0.0901396933763371	0.147721837159861	0.0182487591848422	-0.0259211437721069	-0.0500215731272311	-0.0443831837410327	0.13907374710711	0.0419819500599243	-0.19225837010961	-0.0676932093893555	0.122789069778077	0.101277966029968	0.0404159631268339	0.08654164206648	0.0686910525148113	0.0028221939020881	-0.0413678161816944	-0.0403632899747083	0.0705922795784687	0.0143906783446961	-0.0459269314638091	-0.050041331956931	0.15310344389902	0.00308800503068778	-0.0517735541046811	0.137145245844765	0.0740378793218526	0.184619416458527	-0.132934237053809	-0.140862124781423	-0.03940141124173	-0.0361827130599877	-0.17533812475052	-0.154871395425463	0.20544020795393	-0.105159434154186	-0.111294447219527	0.0107601912127602	0.0134360554333166	0.00407168016499291
"XADPRMaZ"	0.534262075511519	0.530933368182737	0.6526555572574	0.539875414255355	0.358884205882275	0.479431739383046	-0.117473095414125	1	0.985069511121453	0.12198181989799	0.577759835519106	0.504149889597775	0.481584768721666	0.482502867885912	0.535574834476631	0.505959532259501	0.362324145081447	0.441319981466742	-0.0802009143925465	0.644289582574919	0.61347451968126	0.235674469172514	0.422908588757134	0.426187676944635	0.627668696657562	0.623028100913225	0.625122932117473	0.552036521489294	0.538809195375617	0.587761038500091	-0.00152632270125327	0.785571682073092	0.758767088418238	-0.0961879517416106	0.530384940513441	0.453055455650287	0.179456792184988	0.117716515499946	0.210077060623233	-0.009700994681637	0.132836621577708	0.128899273921281	0.189595358869106	0.213396903081795	0.20543110821311	0.0819295405920245	0.255623957916128	0.253901044935287	0.254082156680992	0.19852877909735	0.271571557157291	0.241367440270619	0.21523755085105	0.185910304052701	0.0981568176525027	0.249147368275006	0.262169950593848	0.215412228339516	0.18074931526923	-0.0277700622710199	0.212976331038575	0.166275046528057	0.241053911950664	0.244624139059216	0.173234987921491	0.149740433775371	0.112025162133429	0.300865653379385	0.26329730387643	0.0360157542641973	0.283703930932388	0.284555833704515	0.215047413019098	0.246217303783981	0.268280288087226	0.303179007323915	0.0873052987372257	0.183740730602707	-0.0722891402378953	0.60921758090352	0.210035619192626	0.0508553538348896	0.441528076140207	0.451887132454807	0.35222982695252	0.343189489207857	0.374236183812066	0.299086107267536	0.34800591563904	0.319691014756675	0.0360404516410198	0.461369827088048	-0.0828226625248687	0.0159324757041742	0.343206548794542	0.00479860849997997	0.396317001732631	0.373996248758595	0.371947522861807	0.319101156448172	0.333170054422788	0.342086904997534	0.0395781551791617	0.587681890533826	0.57064032680372	0.183434715838697	0.256174380770506	0.246265081811244
"XASAPRMaZ"	0.528733634110322	0.529429792667786	0.642758892906247	0.558145245136635	0.356948729897752	0.473814434276642	-0.118608837026757	0.985069511121453	1	0.0863997334172381	0.583486458360194	0.515240403270461	0.479475999873522	0.482501083383794	0.524108941936995	0.502479056772209	0.366030326399151	0.441940183750257	-0.102253849227228	0.651006459647802	0.632434209972042	0.211685353387939	0.421475320683028	0.421583929854129	0.61759111134026	0.613105657414417	0.61090477362321	0.548147251253042	0.532516799000544	0.577375547787058	-0.0284304986415747	0.78975747646794	0.780765054846753	-0.125137384282669	0.54593619854985	0.467946325874385	0.147711022512069	0.0847832410842288	0.175684491183016	-0.0239535959950347	0.107016068781965	0.0960108985562286	0.182816255353228	0.181061532337405	0.175483569799134	0.0547549175238538	0.217744424931575	0.215345193613424	0.235238564589132	0.185791063635613	0.244801368172747	0.216297061859471	0.203613982013742	0.175528816253757	0.0755701502693262	0.23936439262791	0.246921843191864	0.191974924612999	0.173907443727655	-0.0500962317197916	0.203507552357999	0.15564841649417	0.239911831974384	0.245336407397198	0.1596006712577	0.137673411098662	0.108013051546305	0.299926820706182	0.26934263626725	0.0310258031595612	0.278789264564721	0.272391495252264	0.226416655795631	0.254701256793194	0.291049449316999	0.326126378549123	0.084615311575741	0.18564951985544	-0.0611293013084341	0.607233474754176	0.213514180796652	0.0372146500621911	0.457900432478117	0.474717677054221	0.356391461778732	0.347420867230653	0.388497832753931	0.311388581088416	0.35168511266234	0.321515735303888	0.0280824458822745	0.491914437561575	-0.0818447766915519	0.00895587494139769	0.339677521656483	0.00663142499824261	0.394880420531303	0.370380533081641	0.37534772149869	0.320050971185267	0.328503277325667	0.337567034008733	0.0435909365328733	0.588325420219228	0.577456474348116	0.17105458752518	0.26941776891378	0.262262941085354
"PNPRMaZ"	0.354503699399613	0.319206692158447	0.47901683289991	0.384300659862835	0.212766542846312	0.275798528109392	0.45270136987527	0.12198181989799	0.0863997334172381	1	0.0431810665764799	0.0562818262006833	0.203110103815274	0.195665568206843	0.32392753425276	0.225749822214666	0.0957329730429793	0.175191387445802	0.435539251246864	-0.0308687566520855	-0.0696460197825929	0.59116674827089	0.031188831845874	0.0605575377265418	0.232094331968684	0.233415970732918	0.312662721059918	0.175255305818983	0.153281865490071	0.226859266650534	0.359822558291247	0.0312464320215362	0.0057030535889462	0.29893163408121	-0.0348547558717205	0.0171850949435831	-0.101492859399051	-0.0572696259712492	-0.101431953954033	-0.0379794590770244	-0.089650164148239	-0.0792964381189091	0.118895443283226	-0.184241072926785	-0.200638141173684	0.108748661308253	-0.129789477840244	-0.158926724272282	-0.0524363881585348	-0.098715228476637	-0.0232902060329286	-0.0284644106076174	-0.0655633325218429	-0.106974019258293	0.140975529830183	-0.0878266805250812	-0.0988226839196921	0.129553963873896	-0.126410158428882	-0.209567029008728	-0.0559159650489411	-0.0479469525521879	-0.0528740677653437	-0.0513634699226068	-0.0520261623865495	-0.0461387606132016	0.0909920086297963	-0.0825532712713331	-0.0973046803549038	0.0151367006620552	-0.0160401607166445	-0.0373820297235034	0.0635627053034706	0.111116087954183	0.175604436457439	0.111380739237337	-0.056024336080895	0.0922999446241666	0.123242505886407	0.109321477122002	0.0611726399085836	0.186599420239516	0.0494964529818808	0.0462820532293754	0.138458472934953	0.135287738240714	0.180768115861622	0.135621971215069	0.135322679264807	0.121171737150169	0.181942074562703	0.00667285002694895	-0.0854680541840653	0.309180845656224	0.116059296391633	0.0535054219581393	0.147860328714163	0.132375523118822	0.138098991205402	0.125823267352271	0.125984590033736	0.118125396497746	0.190975936450745	0.0254308926840788	-0.00631158251326747	0.232856500876105	0.131045727885925	0.117103049594657
