RHIZO 2019a	ImageFileName	L	PA	SA	AD	LenPerVol	RV	Ti	Fo	Cr	group
B73-1	x023.tif	506	21.19	66.57	0.42	506	0.7	796	1142	526	B73
B73-2	x024.tif	554.22	24.82	77.96	0.45	554.22	0.87	653	1432	878	B73
B73-3	x025.tif	530.77	24.65	77.43	0.46	530.77	0.9	567	1486	860	B73
B73-4	x026.tif	538.14	23.27	73.11	0.43	538.14	0.79	840	1339	730	B73
B73-5	x027.tif	251.39	10.16	31.91	0.4	251.39	0.32	686	591	227	B73
B73-6	x028.tif	223.3	8.12	25.51	0.36	223.3	0.23	546	413	146	B73
B73-7	x029.tif	275.26	11.25	35.35	0.41	275.26	0.36	576	507	232	B73
B73-8	x030.tif	252.73	11.23	35.27	0.44	252.73	0.39	663	543	259	B73
EMS5-1	x017.tif	106.21	4.73	14.86	0.45	106.21	0.17	359	222	70	fut5
EMS5-2	x018.tif	115.63	5.19	16.31	0.45	115.63	0.18	301	224	67	fut5
EMS5-3	x019.tif	122.59	5.29	16.61	0.43	122.59	0.18	294	200	60	fut5
EMS5-4	x020.tif	167.84	6.38	20.05	0.38	167.84	0.19	527	269	100	fut5
EMS5-6	x022.tif	57.53	2.7	8.48	0.47	57.53	0.1	233	106	10	fut5
