ProjArea	RootVolume_PR
Y70	13.45	0.23
Y71	25.55	0.23
Y72	6.11	0.2
Y73	26.94	0.48
Y74	46.08	0.77
Y76	19.93	0.39
Y77	9.03	0.17
Y78	15.08	0.21
Y79	12.23	0.26
Y80	16.16	0.36
Y83	17.55	0.18
Y85	18.11	0.37
Y86	33.88	0.29
Y88	24.1	0.54
Y89	6.5	0.2
Y90	16.08	0.24
Y92	23.05	0.36
Y93	15.38	0.28
Y94	28.3	0.33
Y97	9.72	0.17
Y99	25.51	0.49
Y104	24.78	0.43
Y105	18.34	0.33
Y106	21.62	0.44
Y109	31.48	0.46
Y111	26.4	0.42
Y112	10.13	0.25
Y113	20.87	0.35
Y117	16.03	0.48
Y118	38.52	0.56
Y119	27.16	0.34
Y120	19.07	0.45
Y121	13.42	0.19
Y122	29.93	0.3
Y124	15.44	0.44
Y125	31.03	0.34
Y127	18.78	0.4
Y128	16.03	0.21
Y131	14.48	0.2
Y133	21.2	0.43
Y136	26.55	0.37
Y137	20.59	0.26
Y142	23.39	0.3
Y143	32.82	0.93
Y145	26.46	0.51
Y146	22.41	0.42
Y147	18.32	0.32
Y148	26.61	0.4
Y149	33.76	0.35
Y150	16.44	0.26
Y151	16.46	0.36
Y153	23	0.41
Y154	27.56	0.57
Y155	24.1	0.45
Y159	5.58	0.15
Y160	19.72	0.27
Y161	34.51	0.56
Y163	18.23	0.43
Y164	17.89	0.25
Y165	29.93	0.67
Y166	8.48	0.12
Y167	14.17	0.22
Y168	23.53	0.34
Y170	8.76	0.2
Y172	23.17	0.37
Y173	25.55	0.54
Y174	22.21	0.24
Y175	9.02	0.13
Y176	27.39	0.3
Y177	24.76	0.34
Y178	15.68	0.23
Y179	16.25	0.2
Y180	29.94	0.47
Y182	22.39	0.46
Y184	27.5	0.44
Y188	14.58	0.36
Y189	29.64	0.48
Y190	27.74	0.38
Y192	30.96	0.2
Y193	18.92	0.38
Y194	4.48	0.08
Y198	8.73	0.18
Y199	30.16	0.4
Y202	24	0.39
Y205	15.37	0.21
Y207	36.67	0.55
Y208	20.3	0.35
Y210	19.28	0.34
Y211	23.43	0.21
Y216	19.09	0.28
Y217	20.95	0.26
Y221	11.29	0.13
Y222	28.63	0.32
Y223	21.71	0.27
Y225	14.52	0.14
Y226	12.03	0.2
Y227	13.17	0.31
Y228	22.82	0.5
Y229	18.96	0.52
Y234	21.86	0.37
Y235	9.95	0.2
Y236	36.33	0.47
Y108	10.28	0.23
