"DPRMaZ"	"SAPRMaZ"	"SDAPRMaZ"	"SSAPRMaZ"	"CDPRMaZ"	"CSAPRMaZ"	"XNPRMaZ"	"XADPRMaZ"	"XASAPRMaZ"	"PNPRMaZ"	"PADPRMaZ"	"PASAPRMaZ"	"DPRMZ"	"SAPRMZ"	"SDAPRMZ"	"SSAPRMZ"	"CDPRMZ"	"CSAPRMZ"	"XNPRMZ"	"XADPRMZ"	"XASAPRMZ"	"PNPRMZ"	"PADPRMZ"	"PASAPRMZ"	"DPREZ"	"SAPREZ"	"SDAPREZ"	"SSAPREZ"	"CDPREZ"	"CSAPREZ"	"XNPREZ"	"XADPREZ"	"XASAPREZ"	"PNPREZ"	"PADPREZ"	"PASAPREZ"	"DLRMaZ"	"SALRMaZ"	"SDALRMaZ"	"SSALRMaZ"	"CDLRMaZ"	"CSALRMaZ"	"XNLRMaZ"	"XADLRMaZ"	"XASALRMaZ"	"PNLRMaZ"	"PADLRMaZ"	"PASALRMaZ"	"DLRMZ"	"SALRMZ"	"SDALRMZ"	"SSALRMZ"	"CDLRMZ"	"CSALRMZ"	"XNLRMZ"	"XADLRMZ"	"XASALRMZ"	"PNLRMZ"	"PADLRMZ"	"PASALRMZ"	"DLREZ"	"SALREZ"	"SDALREZ"	"SSALREZ"	"CDLREZ"	"CSALREZ"	"XNLREZ"	"XADLREZ"	"XASALREZ"	"PNLREZ"	"PADLREZ"	"PASALREZ"	"DCRMaZ"	"SACRMaZ"	"SDACRMaZ"	"SSACRMaZ"	"CDCRMaZ"	"CSACRMaZ"	"XNCRMaZ"	"XADCRMaZ"	"XASACRMaZ"	"PNCRMaZ"	"PADCRMaZ"	"PASACRMaZ"	"DCRMZ"	"SACRMZ"	"SDACRMZ"	"SSACRMZ"	"CDCRMZ"	"CSACRMZ"	"XNCRMZ"	"XADCRMZ"	"XASACRMZ"	"PNCRMZ"	"PADCRMZ"	"PASACRMZ"	"DCREZ"	"SACREZ"	"SDACREZ"	"SSACREZ"	"CDCREZ"	"CSACREZ"	"XNCREZ"	"XADCREZ"	"XASACREZ"	"PNCREZ"	"PADCREZ"	"PASACREZ"
"DPRMaZ"	NA	0	0	2.50910403565285e-14	0	0	0.0209068608390475	8.71223804210786e-09	1.31959525528913e-08	0.000256522761466371	1.07031574292371e-06	3.6009776649415e-07	2.97539770599542e-14	5.90638649100583e-14	2.15321094287901e-11	2.94354078889114e-08	2.1446711073736e-10	1.02318153949454e-12	0.0212085428400512	1.62318743464063e-05	1.47357087443289e-05	0.000250109465336656	0.00140418578582313	0.000123767279489595	0	0	5.62661028880029e-13	1.30532222808455e-08	0	0	0.407877294428554	5.25441024024076e-10	5.58279467099965e-09	0.88763266117402	1.01267731387189e-05	1.62992643160109e-06	0.613892953463302	0.467238759640475	0.752856717089199	0.192935013925905	0.257863020673086	0.648217599353267	0.969714060665478	0.36180922475225	0.255186116119472	0.115584551255424	0.178216959596127	0.125673146708733	0.231599198218871	0.41232903996589	0.833159479497767	0.822019699161584	0.0874468440751925	0.373231842836949	0.850056591798835	0.680946805358869	0.578242210364188	0.675992453874647	0.50256010162174	0.135307854506508	0.0887730449798638	0.0759357448772919	0.237709212135017	0.268521960532126	0.0649800137463323	0.0674669667612076	0.768269935651503	0.442971686056703	0.941929899880552	0.779880265419376	0.0433108815846328	0.0966067042047385	2.73651897342297e-05	3.40856567238035e-06	0.000145161130433724	0.000251934078752569	0.00438732579831291	3.45725928494467e-05	0.430175485904118	0.000487939235786161	0.108857038015067	0.476379360060243	0.000112567267225305	0.000918943510235248	5.00616299525802e-08	6.07739112368222e-08	2.51299394866678e-05	0.00175036314644839	5.04555190961042e-08	7.09826419864612e-08	0.590041737759457	0.00116161985575469	0.798028007500537	0.363592383545789	0.000119781762193627	0.716696698001009	5.34918087602421e-09	2.29477770119502e-08	0.00047950948707598	0.00545407228943473	2.00568006647472e-10	1.1217603290703e-08	0.207773450728894	0.00139953418577776	0.00345871158302846	0.222532333638234	0.014580171034273	0.0144149768674104
"SAPRMaZ"	0	NA	0	7.26307902709777e-13	0	0	0.0559397341580072	1.11965250404467e-08	1.25289005836748e-08	0.00107513785382407	2.10259756272535e-07	5.26932886213416e-08	2.49045228883915e-12	2.34479102800833e-12	2.7524160728376e-10	2.82592185207875e-08	5.52304291190353e-09	4.07853750772347e-11	0.0676474392616675	1.52399255717306e-05	7.86116978579443e-06	0.00136732448306676	0.000411650659946972	2.40006885765531e-05	0	0	6.43263220467816e-12	3.47822886048732e-08	0	0	0.709472003043637	2.82642576010517e-10	1.8719750194407e-09	0.826348886429728	1.50033739698685e-06	2.88373707357792e-07	0.541642445575635	0.338890883200167	0.786673065754014	0.184952365401601	0.201444923267053	0.49928860607032	0.875189612367926	0.295815078591573	0.198612281591993	0.127766195625997	0.190413978117441	0.111653941511153	0.332944193962808	0.489285108203381	0.955043243779624	0.941362515334732	0.145302797206441	0.441584039244712	0.975155245507534	0.703463426736052	0.575222303709973	0.948015296317902	0.65212112314392	0.222164853540039	0.13801021836346	0.0931225316553377	0.224892160528502	0.259454907837573	0.135092240512697	0.0858744852344899	0.818389857520722	0.413685010295277	0.89551047312314	0.789698869299106	0.0251734798339831	0.0501527513601399	2.31470509826082e-05	4.10766359948411e-06	0.000125651003630267	0.000167784007803151	0.0040825231040138	4.92485369449902e-05	0.377511586683249	0.00047793325510237	0.111158061658429	0.412612351595808	8.46326772792061e-05	0.000670531653479856	5.91211023248661e-07	5.06614791451199e-07	2.99141290551752e-05	0.0016563288260294	6.39403679336681e-07	8.02502796215521e-07	0.777250884414073	0.000988066816453692	0.746410297349474	0.454336888546354	4.84489425931489e-05	0.55475611053457	8.13867329085838e-09	2.60012740227467e-08	0.000515599038408254	0.00467111692323563	3.72749164867514e-10	1.45137919460581e-08	0.4254260303864	0.000518652596095182	0.00116575450866385	0.308989145337271	0.00801153108662667	0.00780516864930547
"SDAPRMaZ"	0	0	NA	0	3.00510287765121e-07	9.9031893796564e-14	7.97600905833029e-06	1.4122036873232e-13	4.2810199829546e-13	3.5240966922423e-07	8.83173534305115e-11	4.69915217848893e-11	1.41639544537497e-09	3.65434527083153e-09	0	2.22044604925031e-16	0.000719121388146338	5.1674829881776e-07	3.8289662238844e-05	1.36201105505052e-07	2.51527369021787e-06	9.57334211904026e-11	5.57254088964232e-05	1.79572695537811e-05	1.11022302462516e-15	1.77635683940025e-15	0	0	3.64282126685822e-08	1.96620497661115e-12	0.000308196042255071	4.1622572055644e-10	1.58570605535147e-08	0.121428829563598	3.94036434103739e-06	2.38304295430147e-06	0.231633716840827	0.324097601153503	0.103202576073705	0.858291797079938	0.485453818214919	0.329143749705836	0.0242957456936572	0.503863463696789	0.761562385710278	0.625793447400549	0.00977089705636081	0.0215509312822255	0.028106728874588	0.122516505000831	0.00924650052171172	0.0126829630525753	0.0901514643649954	0.177033109386322	0.00627461881754288	0.134024303716317	0.121850240517071	0.0154122443902096	0.349534371290068	0.258973652711378	0.0317156783284576	0.0491011849352032	0.00383858390897807	0.00441985379167509	0.138760503611493	0.0745881239215214	0.0629088423489708	0.0525595458101227	0.133936690872386	0.0217334693070379	0.0100586661956408	0.0315558720906757	0.0076670459843784	0.000882464901793778	3.38237615622461e-05	7.89200970658932e-05	0.63540429385359	0.011422666289068	0.170244526376857	3.02398468043918e-07	0.0337446525500882	0.0307025326062997	5.80526091553679e-06	2.84377501282851e-05	3.27594336302361e-05	4.76793971149192e-05	2.23496554596636e-08	2.24336816976312e-05	5.08396844873804e-05	0.000357291215050015	0.0689395917819329	0.000248864626720469	0.401911420866816	0.0061003904007606	0.00280190592752971	0.735527935697152	1.38292883657964e-05	6.72626481965644e-05	4.92857574307948e-07	5.62498315357374e-05	0.00293171881284504	0.000559383437137351	0.0078971549386857	8.41755302816161e-06	2.03603197648228e-05	0.00248115589350317	0.00192307616385157	0.00479220650934464
"SSAPRMaZ"	2.50910403565285e-14	7.26307902709777e-13	0	NA	5.06957591595025e-06	9.67575708443746e-08	0.000167252381064964	5.6715780960559e-09	1.32637789640455e-09	6.67255237569719e-05	5.79828107971636e-07	1.29075283794577e-08	5.75062752083966e-07	6.0994607631315e-07	8.88178419700125e-15	0	0.00653254484057353	4.86629392315585e-05	0.00112416868126752	7.68299414066753e-06	3.02183683658086e-05	1.12382295025526e-07	0.000408163639043835	0.00015542619624731	1.95732319241415e-12	3.19340109911082e-11	2.22044604925031e-15	1.55431223447522e-15	7.03213305364159e-08	9.11282604931785e-09	0.00106283678771302	6.18716700806488e-06	4.19651737209037e-05	0.344559758432997	0.000117623004553202	3.01151486710172e-05	0.549331890748647	0.600714132214823	0.488982759329279	0.863389814208002	0.652020157262388	0.624579393308171	0.136442915072098	0.989928466081547	0.88933567587715	0.995141108868574	0.165482102507856	0.208872042158334	0.113738908445503	0.439521362321997	0.123021850244649	0.175925757310843	0.15175120594714	0.510326013393527	0.0588213662841517	0.461548426642686	0.476732391786017	0.0516747660037093	0.512851411918855	0.377905996294591	0.209756648484445	0.413402858907076	0.0898505896698034	0.113801349559254	0.391723683727701	0.495946946191522	0.0851943748324491	0.5433282128883	0.851307338660054	0.115799219465335	0.0836808110393776	0.230085487214193	0.00565686505174789	0.00117100897903288	0.000214617793294902	0.000593788707414999	0.340438365096117	0.00902348935989128	0.158450462594359	0.00024020410484793	0.474826500038218	0.111914657093814	1.86475695489463e-05	1.20692485838791e-05	0.000744097290450885	0.000422266386630898	1.92543041444004e-06	7.67484447177225e-05	0.00103271452751841	0.00241239399727022	0.155449644547411	2.92184923589289e-05	0.59041026796727	0.0908120820505001	0.00174997652950371	0.833751566475961	0.0049642352988144	0.0114528327932986	0.00108465659487633	0.0608522764651909	0.0550752659966349	0.016118695632797	0.0597916662460674	0.00946019476349025	0.0145823612082587	0.0679699975891497	0.00643869510418504	0.013319546206533
"CDPRMaZ"	0	0	3.00510287765121e-07	5.06957591595025e-06	NA	0	0.48142672612336	0.000228331754122735	0.00024819631312667	0.0317932101719278	0.00241306041205958	0.00115695104054159	5.91642290714844e-11	6.67492727757235e-11	5.20829135497447e-05	0.0015664214455906	2.59552379588968e-11	4.32776037229132e-11	0.373871051487632	0.00363344929772724	0.00130829653137088	0.118389742288636	0.0363039151723437	0.00518559013843278	1.17683640610267e-14	0	2.17723320952157e-05	0.000913553060033712	0	0	0.40047929788392	1.56320797684018e-06	3.54387374357223e-06	0.49899321067957	0.000708931695810211	0.000133228805203167	0.983123048617583	0.659863167242379	0.180117418273717	0.0594446771452779	0.249328040049458	0.938254674384235	0.193563595615839	0.10406097295101	0.0837096417602332	0.0145782791368791	0.683478214680169	0.418320854042948	0.685380294295351	0.800697647516265	0.25068172316509	0.284641869471716	0.171221463747013	0.649141881788034	0.212027316286456	0.782876129083113	0.915573139834443	0.442046457842364	0.149983951181244	0.163457543276532	0.262654127845368	0.186283989470353	0.999417605610138	0.937393664740738	0.0893919840214927	0.133408314567659	0.511626960045071	0.963345035589201	0.446928141528727	0.356998881110911	0.187745852356325	0.287426823901174	2.34352091954548e-05	8.99520534636267e-06	0.00448793051932705	0.00569120556480596	0.000205377190396927	2.22517457593163e-05	0.760298371335642	0.0526129722104658	0.317726331048728	0.80787570644673	0.00653894540212763	0.029101022486403	7.36396962075503e-07	7.10160243944102e-07	0.00893534972157406	0.0589126121089645	5.40341444477122e-07	1.68018750912324e-07	0.772199980786702	0.019117982460028	0.899663804840989	0.77215770838138	0.000443222615205574	0.490608036129988	1.04353904184507e-07	1.82024749051379e-07	0.0501794928106232	0.125676311487794	2.78310707813034e-12	1.01604160640534e-08	0.81778286551139	0.0632574936407935	0.10902314846023	0.984049273976686	0.115774348043337	0.0835589556311289
"CSAPRMaZ"	0	0	9.9031893796564e-14	9.67575708443746e-08	0	NA	0.176401731292577	3.92873241050751e-07	5.59675049416342e-07	0.00502021939972774	2.70765937915307e-06	1.42697691751792e-06	2.44715359087877e-11	2.25766072503575e-11	6.45411768473991e-08	5.94451448465705e-06	2.8167654875233e-09	1.01227914939273e-10	0.166125644695841	0.000100539130862609	4.02346934538222e-05	0.0118231189388482	0.00133137355820478	8.93379721391696e-05	4.44089209850063e-16	0	3.78499342978955e-09	7.0065497173033e-06	2.44249065417534e-15	0	0.789940023171772	1.82861503716936e-09	7.15131731610086e-09	0.653365477137362	5.9623346913007e-06	1.53634896848942e-06	0.579608622177023	0.337743500032242	0.649213610785985	0.126584895854938	0.18184179602751	0.514988325949996	0.882997195940562	0.239263615220271	0.157567042345299	0.0871866194831947	0.243886345278892	0.13134825479873	0.456677906416327	0.543187011333586	0.788734013585672	0.83479605590813	0.186325439854241	0.471387861670828	0.66028359796193	0.788888354513653	0.635193725474569	0.731439646623484	0.517591404975624	0.239055088484678	0.163185318911144	0.086535286398882	0.320736496901373	0.356811063767967	0.134568125085066	0.0736737835191075	0.90349948011313	0.430881726614897	0.915128218778949	0.962536139151443	0.0324694462212327	0.0520270169568395	3.4861572246303e-05	8.80886835608052e-06	0.00048515894386858	0.000525990768018403	0.00246095649036038	6.83933916700852e-05	0.491677640073703	0.00182467453526947	0.101521919334759	0.563023204616543	0.000515677604696396	0.00407485139604224	1.3836229846298e-06	1.41016371246749e-06	0.000292193679905406	0.00774412049765427	1.34755708058876e-06	1.27389342097217e-06	0.993022900657425	0.00543967949259549	0.805943750641564	0.636465903012061	0.000117130710981073	0.477728985361505	5.6726379149552e-09	1.39674150023694e-08	0.00146739785360861	0.00573562516141513	3.19222426270471e-11	5.91386051240761e-09	0.61565669025552	0.000896967902566992	0.00189870316357532	0.44801325976348	0.0169492764039898	0.0143293633581072
"XNPRMaZ"	0.0209068608390475	0.0559397341580072	7.97600905833029e-06	0.000167252381064964	0.48142672612336	0.176401731292577	NA	0.242020770668372	0.237466817113992	1.77775606768904e-06	0.734224786165425	0.336503024889381	0.544167547360817	0.476232052255491	0.010989270933474	0.0271689937706148	0.544188452715002	0.693693358403545	4.6003201248368e-12	0.788418370967015	0.528071905959909	4.52468602731848e-05	0.759591024637834	0.610787166906288	0.403738960491891	0.304662401959366	0.0269063650653245	0.0359003604112678	0.960437493158514	0.469704382047225	4.63988603094379e-09	0.410661572978673	0.413606189136424	0.192949107663677	0.658774618796651	0.884085473046548	0.0624114856342777	0.11186788362581	0.160193252820631	0.497732551599084	0.0427492614803655	0.0787846257366742	0.196712290921548	0.0394650509372432	0.00895116548913366	0.346557662449948	0.92459689389755	0.49120537537199	0.295390748730032	0.127851607779059	0.507061964987965	0.540978756699094	0.237902517767915	0.104485329537936	0.192547130342319	0.402530040411741	0.255449538128801	0.370174219615972	0.0430806154000893	0.000824367361022427	0.800876552517997	0.638513908511082	0.6887241959006	0.763487162129609	0.531115173849938	0.565759442049761	0.114384806823816	0.431128106188823	0.392822648238908	0.159947588855654	0.862920966623404	0.806248395388268	0.619355222341369	0.659422447415804	0.165433483397092	0.676791373758666	0.0540878742615349	0.501193864537203	0.221220234955854	0.313571734842083	0.688211299226723	0.38950085617767	0.494890882821781	0.977654405954749	0.689022434244945	0.696199031164271	0.494320516041814	0.889324156130826	0.656803924762455	0.628255491397698	0.136422625941228	0.976178808864481	0.616394845120822	0.182713457165985	0.473434422711276	0.0717484835045912	0.194271165376995	0.168753932870292	0.701588462840666	0.724947803897805	0.0858279163901361	0.129851562656355	0.0435175176494407	0.305306821982099	0.277793601871778	0.916689424566031	0.896075761067914	0.968426620294671
"XADPRMaZ"	8.71223804210786e-09	1.11965250404467e-08	1.4122036873232e-13	5.6715780960559e-09	0.000228331754122735	3.92873241050751e-07	0.242020770668372	NA	0	0.224294865148144	2.51940690532138e-10	7.6629437906206e-08	3.92631367196472e-07	3.70409410255235e-07	9.38296640384806e-09	7.87932104007183e-08	0.00021190348996214	4.30819826124917e-06	0.427658519172188	4.75175454539567e-13	1.15496501251755e-11	0.018251964956024	1.16829208094416e-05	9.82263084559065e-06	2.77555756156289e-12	4.45887771149955e-12	3.60333984872341e-12	2.62377097826061e-09	7.34417948677901e-09	1.28503430119054e-10	0.987975268157803	0	0	0.341099000186557	1.38275453309689e-08	2.21134933253708e-06	0.0835055950893082	0.258490031148785	0.0421274629789563	0.926063757022529	0.201838397816662	0.21565070008038	0.0672142812174368	0.0389107797229937	0.0469979372714562	0.432436443336409	0.0128945861373519	0.0135364959064255	0.0129689342217782	0.0537747179692238	0.00776457258637775	0.0184546460281245	0.0361956612701819	0.0712624456108659	0.34397679467797	0.0149013930513551	0.0102716227962345	0.0360410844130044	0.0796238886679417	0.789363358758892	0.0426729564050481	0.115205028283711	0.0213479484104044	0.0194427585938501	0.100558273863103	0.156574353407293	0.290415258346229	0.00375715940969967	0.0116809928618773	0.734663259361701	0.00642654942662046	0.00626226672275165	0.0316626830760165	0.0135355492616347	0.00696033982729993	0.00216811959397156	0.387737668236887	0.0672620070369159	0.474770493791434	1.74706915601064e-11	0.0359576669432804	0.615326331867479	4.2584634414311e-06	2.36579333812159e-06	0.00046429584534935	0.000662272450249413	0.000186946379190145	0.00323740782664439	0.000548823222187522	0.00158843213235071	0.72878572708265	2.53109418957287e-06	0.424904700186091	0.87820546744709	0.000661835308579661	0.963188987148413	6.40963311320242e-05	0.000174332514614184	0.000190423439857312	0.00153037654161281	0.000910135570046045	0.000646351662684896	0.701826971610298	3.08098879742147e-10	1.27980714914600e-09	0.0736221074952343	0.011758971085523	0.0155777217233626
"XASAPRMaZ"	1.31959525528913e-08	1.25289005836748e-08	4.2810199829546e-13	1.32637789640455e-09	0.00024819631312667	5.59675049416342e-07	0.237466817113992	0	NA	0.39028173586001	1.51906487388942e-10	3.52549975879413e-08	4.48564144717167e-07	3.70451420428353e-07	2.19101237153296e-08	9.98696196852222e-08	0.000180304770412087	4.16156334726026e-06	0.311375946808208	2.25819363208757e-13	1.69153580031889e-12	0.0344928783340133	1.25959051948676e-05	1.25244407551683e-05	7.69428964986218e-12	1.19744214543971e-11	1.48385748133251e-11	3.56764040532198e-09	1.18008269822667e-08	3.20671933451422e-10	0.778873523745819	0	0	0.214781725073556	4.24125179421253e-09	9.14770433180223e-07	0.155387595302626	0.41652201616881	0.0903157293320924	0.818741253577162	0.304595415507629	0.357293649883834	0.0777910264211652	0.0807354987381175	0.0906904291189605	0.6001678796831	0.0350110594049156	0.0371204692745046	0.0217461763241964	0.0714473034450558	0.0168052033573853	0.0352665516866553	0.0478052080784117	0.0888619882911261	0.466700769476702	0.0194797213044591	0.015851565760886	0.0623575358363884	0.0918979190761449	0.629723099647771	0.0530148052600545	0.140680747941581	0.0219901980179871	0.0190806690289547	0.130749959761309	0.193131140743809	0.308145864973828	0.00387233906356355	0.00983020415679015	0.770327779424113	0.0074508303812677	0.00899826694440176	0.0235002426971267	0.0105483889537186	0.00330569352320786	0.000928692798502606	0.402582797750715	0.0644195288034155	0.54572864888946	2.11435313701713e-11	0.0329280602023905	0.713175187194645	1.6668923312757e-06	6.03841844526443e-07	0.000392859480651264	0.000561583243341435	0.000100055377257879	0.00212907156196906	0.000474480981488945	0.0014877331669918	0.787049773412631	4.13504622986949e-07	0.43041141947028	0.93135734820368	0.000758100161497799	0.949145267322144	6.85089497935998e-05	0.000203645856229784	0.000164416772381326	0.00147875298957967	0.00108431331189518	0.000769772066044894	0.673238217019081	2.91494384185853e-10	7.31195992642597e-10	0.0956463685503715	0.00794405561410816	0.00984197730520586
"PNPRMaZ"	0.000256522761466371	0.00107513785382407	3.5240966922423e-07	6.67255237569719e-05	0.0317932101719278	0.00502021939972774	1.77775606768904e-06	0.224294865148144	0.39028173586001	NA	0.666516605591672	0.574212278121283	0.0416390915507072	0.0498864347092689	0.000951520050184396	0.023213376457591	0.340935522524699	0.0797195815830389	5.31306671702758e-06	0.759270632997391	0.488898024969139	7.58766383057718e-11	0.756851701195724	0.547458502453392	0.0195187296792647	0.0188162847367876	0.00145597859189461	0.079608039173573	0.125930632338764	0.0225271893776595	0.000219239547436523	0.756416642608292	0.954862228609395	0.00239274623237784	0.729319399791755	0.864561179927377	0.327745856570753	0.581456486298692	0.328037726992092	0.714805860322131	0.387601296278936	0.444951656757742	0.251140245438256	0.073885599910835	0.0512281657112688	0.29416252492175	0.209989397849522	0.123971766623773	0.61188208892025	0.338629080105642	0.82179431552867	0.783089187256132	0.525653268984008	0.299560033519375	0.170677144816137	0.394827306166135	0.338100959054624	0.208375193299816	0.219722247534372	0.0404380110415725	0.596522063912247	0.649926526530631	0.616676227150955	0.626792568791662	0.622345926376351	0.66230764014692	0.388344756481442	0.43401860322472	0.356140138982972	0.886124935064143	0.879377812101549	0.723505924906226	0.527723435100481	0.268625826195465	0.0790009828960621	0.267480247748822	0.577891879876602	0.358609208135511	0.219506306722524	0.276481523320666	0.543390017201403	0.061705688132587	0.623042474017626	0.645813628658967	0.178518938353798	0.188768532094207	0.0779835013946886	0.187668398062955	0.188653304532238	0.239585857127346	0.0760385726871902	0.948552544548036	0.407693572092429	0.00217575524430202	0.260140826575408	0.604634311285715	0.148363971374222	0.196169236340571	0.177350303714294	0.219432751776291	0.218837545038331	0.249173966784864	0.060958402021803	0.804708342620532	0.951075187133429	0.0217166071318839	0.200740539563311	0.253323051275462
