trait	group	DPRMaZ	SAPRMaZ	SDAPRMaZ	SSAPRMaZ	CDPRMaZ	CSAPRMaZ	XNPRMaZ	XADPRMaZ	XASAPRMaZ	PNPRMaZ	PADPRMaZ	PASAPRMaZ	DPRMZ	SAPRMZ	SDAPRMZ	SSAPRMZ	CDPRMZ	CSAPRMZ	XNPRMZ	XADPRMZ	XASAPRMZ	PNPRMZ	PADPRMZ	PASAPRMZ	DPREZ	SAPREZ	SDAPREZ	SSAPREZ	CDPREZ	CSAPREZ	XNPREZ	XADPREZ	XASAPREZ	PNPREZ	PADPREZ	PASAPREZ	DLRMaZ	SALRMaZ	SDALRMaZ	SSALRMaZ	CDLRMaZ	CSALRMaZ	XNLRMaZ	XADLRMaZ	XASALRMaZ	PNLRMaZ	PADLRMaZ	PASALRMaZ	DLRMZ	SALRMZ	SDALRMZ	SSALRMZ	CDLRMZ	CSALRMZ	XNLRMZ	XADLRMZ	XASALRMZ	PNLRMZ	PADLRMZ	PASALRMZ	DLREZ	SALREZ	SDALREZ	SSALREZ	CDLREZ	CSALREZ	XNLREZ	XADLREZ	XASALREZ	PNLREZ	PADLREZ	PASALREZ	DCRMaZ	SACRMaZ	SDACRMaZ	SSACRMaZ	CDCRMaZ	CSACRMaZ	XNCRMaZ	XADCRMaZ	XASACRMaZ	PNCRMaZ	PADCRMaZ	PASACRMaZ	DCRMZ	SACRMZ	SDACRMZ	SSACRMZ	CDCRMZ	CSACRMZ	XNCRMZ	XADCRMZ	XASACRMZ	PNCRMZ	PADCRMZ	PASACRMZ	DCREZ	SACREZ	SDACREZ	SSACREZ	CDCREZ	CSACREZ	XNCREZ	XADCREZ	XASACREZ	PNCREZ	PADCREZ	PASACREZ
B73	temperate	0.068	0.004	0.029	0.0006568	390	334320	NA	0.008166667	0.00004995	10	0.0023	0.000003885	0.0645	0.003	0.027	0.0005752	375	242480	3	0.007333333	4.46E-05	10	0.0021	3.09E-06	0.0735	0.004	0.0335	0.000864	400	313600	3	0.0085	5.68E-05	10	0.0023	3.18E-06	0.1105	700000	0.0485	0.002	620	0.009	5	0.01	0.00007855	16	0.0025	4.50E-06	0.0625	0.003	0.0245	0.0004653	380	253470	2	0.007	0.00003814	10	0.0021	0.063	0.044	0.002	0.018	0.0002632	260	173680	3	0.005	0.00002036	9	0.001444444	1.71E-06	0.0925	0.007	0.0085	3.73E-07	840	699962.75	6	0.005833333	4.64E-05	14	0.002	2.80E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0895	0.006	0.0455	0.002	440	400000	5	0.0099	0.000079456	16	0.0023125	4.11E-06
CIMBL152	tropical/subtropical	0.0835	0.006	0.032	0.0007941	515	520590	NA	0.00675	3.92E-05	12	0.00225	3.90E-06	0.083	0.006	0.028	0.0006376	550	536240	3	0.0045	0.00001671	11	0.001636364	2.08E-06	0.078	0.005	0.0335	0.0009293	445	407070	3	0.008333333	0.00005452	15	0.00225	4.17E-06	0.0375	87220	0.0125	0.0001278	250	0.001	1	0.0045	0.00001573	6	0.001333333	1.80E-06	0.0445	0.002	0.0155	0.0001997	290	180030	2	0.00475	0.000017535	6	0.001833333	2.19E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.092	0.007	0.0365	0.001	555	600000	6	0.006416667	0.00003448	14	0.002214286	4.00E-06	0.0775	0.005	0.002857143	0.0007521	746.4285714	424790	5	0.0057	0.000025764	14	0.000946121	8.53E-07	0.0975	0.008	0.034	0.0009234	635	707660	5	0.0075	0.000044638	15	0.002266667	3.96E-06
GEMS65	temperate	0.0705	0.004	0.028	0.0006139	425	338610	NA	NA	NA	12	0.00175	2.19E-06	0.083	0.005	0.0355	0.0009873	475	401270	4	0.009625	0.000078175	13	0.002	3.56E-06	0.078	0.005	0.0305	0.0007356	475	426440	5	0.0077	0.000042604	11	0.00175	2.37E-06	0.052	175570	0.0175	0.0002443	345	0.002	1	0.0075	0.0000486	7	0.001714286	2.10E-06	0.058	0.003	0.0175	0.0002353	405	276470	1	0.006	0.00003266	7	0.001857143	2.54E-06	0.0615	0.003	0.0205	0.0003481	410	265190	1	0.0085	0.00005523	7	0.002	3.20E-06	0.1055	0.009	0.046	0.002	595	700000	7	0.0095	0.00007056	15	0.0018	3.36E-06	0.104	0.008	0.004238095	0.002	997.6190476	600000	5	0.01	0.00008355	15	0.0016	0.000003069	0.123	0.011	0.052	0.002	710	900000	7	0.010928571	9.42E-05	16	0.001740731	2.78E-06
CIMBL40	tropical/subtropical	0.0845	0.006	0.0295	0.0006887	550	531130	2	0.00925	0.00007102	12	0.0025	4.06E-06	0.0875	0.006	0.029	0.000644	585	535600	3	0.007333333	4.42E-05	11	0.002272727	4.39E-06	0.0825	0.006	0.0285	0.0006528	540	534720	3	0.008	5.21E-05	11	0.0025	3.45E-06	0.0375	89180	0.0115	0.0001082	260	0.001	1	0.005	0.00002017	7	0.001244986	1.37E-06	0.032	0.0008957	0.0115	0.00009969	205	79601	1	0.004	0.00001207	6	0.001485067	1.66E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0795	0.005	0.031	0.0007943	485	420570	4	0.008375	0.00005663	14	0.002	3.03E-06	0.088	0.006	0.002809524	0.0007021	851.9047619	529790	3	0.008333333	5.51E-05	12	0.002083333	3.52E-06	0.0945	0.007	0.033	0.0008136	615	618640	3	0.009333333	6.78E-05	13	0.002461538	4.04E-06
CIMBL96	tropical/subtropical	0.0815	0.005	0.0325	0.0008396	490	416040	3	0.008666667	0.00006335	12	0.001916667	3.27E-06	0.0735	0.004	0.028	0.0006348	455	336520	3	0.007166667	3.85E-05	13	0.002153846	4.05E-06	0.0835	0.006	0.031	0.0007759	525	522410	4	0.006875	0.000041965	13	0.002307692	3.57E-06	0.028	30800	0.009	0.0000637	190	0.0003717	1	0.003	0.000008558	3	0.002	0.00000143	0.028	0.0006283	0.009	0.0000637	190	56460	2	0.0025	0.000005277	5	0.00097704	1.27E-06	0.0245	0.0004707	0.009	0.00006736	155	40334	1	0.003	0.000006751	6	0.000898017	7.89E-07	0.108	0.009	0.055	0.002	530	700000	9	0.006777778	4.39E-05	24	0.001625	3.29E-06	0.1035	0.008	0.004714286	0.002	987.8571429	600000	10	0.00715	0.000042007	24	0.001875	3.49E-06	0.094	0.007	0.044	0.001	500	600000	8	0.0068125	3.71E-05	25	0.001375	2.18E-06
CML325	tropical/subtropical	0.0655	0.003	0.037	0.001	285	200000	3	0.010833333	8.89E-05	13	0.002538462	4.14E-06	0.071	0.004	0.0295	0.0007139	415	328610	3	0.008166667	2.51E-05	13	0.002384615	0.000004182	0.074	0.005	0.0345	0.0009401	395	405990	4	0.008	0.000048255	13	0.002615385	4.17E-06	0.0405	78630	0.0165	0.0002137	240	0.001	1	0.0075	0.00004203	7	0.002	2.34E-06	0.0415	0.001	0.0185	0.0002596	230	74040	3	0.003666667	1.04E-05	7	0.001857143	2.27E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0755	0.004	0.035	0.0009725	405	302750	5	0.0084	0.00005289	12	0.00225	4.65E-06	0.076	0.005	0.003	0.0007522	730	424780	5	0.0056	0.000026634	12	0.002	2.90E-06	0.066	0.004	0.0375	0.001	285	300000	8	0.0076875	4.63E-05	18	0.001777778	2.38E-06
BY809	temperate	0.097	0.008	0.038	0.001	590	700000	3	0.011833333	0.00011069	11	0.003090909	5.76E-06	0.0835	0.006	0.036	0.001	475	500000	3	0.012	0.000116633	14	0.0025	4.79E-06	0.1015	0.008	0.0415	0.001	600	700000	3	0.015	0.000170167	0	0.003090909	6.38E-06	0.0405	83790	0.0145	0.0001621	260	0.001	2	0.006	0.00002192	7	0.001285714	1.45E-06	0.0345	0.0009593	0.0115	0.0001119	230	84740	1	0.004	0.00001385	7	0.001120843	1.23E-06	0.041	0.001	0.015	0.0001745	260	82550	1	0.007	0.00003704	7	0.001714286	0.000002112	0.09	0.006	0.043	0.002	470	400000	5	0.0105	0.000084124	13	0.002230769	0.000003976	0.0845	0.006	0.003285714	0.0009197	812.1428571	508030	3	0.0115	9.66E-05	12	0.002333333	4.43E-06	0.0995	0.008	0.0415	0.001	580	700000	5	0.0117	0.000100812	14	0.002285714	0.000003547
NAN21-3	tropical/subtropical	0.0745	0.005	0.0275	0.0006134	470	438660	3	0.0085	0.00005812	12	0.002416667	3.67E-06	0.0605	0.003	0.0255	0.0005306	350	246940	3	0.006833333	3.53E-05	12	0.002166667	3.60E-06	0.077	0.005	0.0275	0.0006228	495	437720	4	0.008	0.000045605	12	0.002416667	0.000004205	0.0395	80530	0.016	0.0001947	235	0.001	3	0.004666667	1.61E-05	8	0.001375	1.60E-06	0.033	0.0009169	0.012	0.0001171	210	79980	2	0.004	0.000011802	6	0.001147717	1.21E-06	0.029	0.0006469	0.012	0.0001133	170	53360	2	0.00375	1.07E-05	6	0.000961917	1.23E-06	0.103	0.008	0.0475	0.002	555	600000	10	0.0069	0.000036573	21	0.001952381	2.65E-06	0.1005	0.008	0.004142857	0.001	963.5714286	700000	8	0.006875	4.12E-05	19	0.002052632	4.10E-06	0.0945	0.007	0.0425	0.001	520	600000	8	0.008125	5.28E-05	21	0.001904762	2.74E-06
ZHI41	temperate	0.0875	0.006	0.0295	0.0007131	580	528690	3	0.008333333	0.00005772	13	0.002153846	3.74E-06	0.0935	0.007	0.0335	0.0008894	600	611060	4	0.0065	0.000035155	13	0.002615385	6.09E-06	0.094	0.007	0.033	0.0008892	610	611080	4	0.009	0.000059635	12	0.002153846	5.45E-06	0.0335	81510	0.012	0.0001144	215	0.0009295	1	0.005	0.00002182	7	0.001	1.32E-06	0.037	0.001	0.012	0.0001206	250	87940	1	0.004	0.00001393	7	0.000986671	9.82E-07	0.0415	0.001	0.0135	0.0001416	280	85840	2	0.00425	0.000014075	7	0.001714286	1.93E-06	0.0785	0.005	0.028	0.0006098	505	439020	5	0.0056	0.000026136	10	0.0023	4.16E-06	0.099	0.008	0.003190476	0.0008912	958.0952381	710880	4	0.0085	5.24E-05	12	0.003	6.03E-06	0.095	0.007	0.033	0.000829	620	617100	4	0.008125	0.000049785	12	0.002416667	4.80E-06
GEMS50	temperate	0.084	0.006	0.036	0.001	480	500000	3	0.0105	8.38E-05	12	0.002416667	0.000004062	0.0895	0.007	0.036	0.001	535	600000	3	0.009166667	6.65E-05	12	0.002416667	4.31E-06	0.0865	0.006	0.033	0.0008733	535	512670	4	0.008125	0.00005025	12	0.002416667	0.000003161	0.0515	171710	0.019	0.0002829	325	0.002	2	0.00525	0.00002325	8	0.001875	2.44E-06	0.0695	0.004	0.0215	0.0003712	480	362880	2	0.00625	0.00003381	9	0.002	2.60E-06	0.047	0.002	0.017	0.0002074	300	179260	2	0.005	0.00001881	9	0.001111111	1.26E-06	0.066	0.004	0.028	0.0006134	380	338660	5	0.006	0.00002785	15	0.00106234	1.41E-06	0.0695	0.004	0.002714286	0.0006423	667.8571429	335770	5	0.0058	0.000026838	13	0.001384615	1.77E-06	0.073	0.004	0.029	0.000678	440	332200	3	0.007666667	4.31E-05	12	0.001916667	2.42E-06
RY713	temperate	0.072	0.004	0.0355	0.001	365	300000	4	0.008125	0.00005168	13	0.002	3.34E-06	0.0875	0.006	0.043	0.001	445	500000	7	0.006142857	0.00003219	16	0.00225	0.000004073	0.0855	0.006	0.0435	0.002	420	400000	8	0.0078125	0.000047315	22	0.001590909	2.08E-06	0.0375	83500	0.0165	0.0165	210	0.001	1	0.007	0.00003417	7	0.001142857	1.63E-06	0.034	0.0009934	0.0155	0.000187	185	80640	3	0.003333333	9.64E-06	8	0.001125	1.46E-06	0.04	0.001	0.013	0.0001426	270	85740	1	0.0055	0.00002274	7	0.000984586	1.30E-06	0.0375	0.001	0.0165	0.0002142	210	78580	9	0.007611111	4.33E-05	28	0.001033564	1.57E-06	0.1005	0.008	0.004714286	0.002	957.8571429	600000	9	0.007777778	4.62E-05	24	0.0015	2.73E-06	0.0985	0.007	0.0525	0.002	460	500000	9	0.008333333	5.52E-05	24	0.001857143	2.78E-06
K12	temperate	0.0775	0.005	0.0295	0.0007089	480	429110	4	0.007875	4.93E-05	13	0.001846154	2.42E-06	0.077	0.005	0.03	0.0007762	470	422380	4	0.007375	0.000041495	13	0.002076923	3.94E-06	0.0715	0.004	0.028	0.0006288	435	337120	6	0.00625	3.07E-05	11	0.001909091	2.61E-06	0.038	85240	0.0135	0.0001476	245	0.001	2	0.004	0.000013705	7	0.000994	1.01E-06	0.041	0.001	0.015	0.0001853	260	81470	2	0.004	0.000013375	7	0.001142857	1.59E-06	0.04	0.001	0.014	0.0001685	260	83150	2	0.0055	0.000021255	7	0.001242386	1.27E-06	0.083	0.006	0.033	0.000866	500	513400	5	0.008	0.000049622	14	0.001857143	2.84E-06	0.077	0.005	0.00247619	0.0005414	745.2380952	445860	2	0.0075	0.00004628	10	0.002	0.000003011	0.0835	0.005	0.032	0.0008425	515	415750	5	0.008	0.000049906	14	0.002	3.43E-06
