trait	group	DPRMaZ	SAPRMaZ	SDAPRMaZ	SSAPRMaZ	CDPRMaZ	CSAPRMaZ	XNPRMaZ	XADPRMaZ	XASAPRMaZ	PNPRMaZ	PADPRMaZ	PASAPRMaZ	DPRMZ	SAPRMZ	SDAPRMZ	SSAPRMZ	CDPRMZ	CSAPRMZ	XNPRMZ	XADPRMZ	XASAPRMZ	PNPRMZ	PADPRMZ	PASAPRMZ	DPREZ	SAPREZ	SDAPREZ	SSAPREZ	CDPREZ	CSAPREZ	XNPREZ	XADPREZ	XASAPREZ	PNPREZ	PADPREZ	PASAPREZ	DLRMaZ	SALRMaZ	SDALRMaZ	SSALRMaZ	CDLRMaZ	CSALRMaZ	XNLRMaZ	XADLRMaZ	XASALRMaZ	PNLRMaZ	PADLRMaZ	PASALRMaZ	DLRMZ	SALRMZ	SDALRMZ	SSALRMZ	CDLRMZ	CSALRMZ	XNLRMZ	XADLRMZ	XASALRMZ	PNLRMZ	PADLRMZ	PASALRMZ	DLREZ	SALREZ	SDALREZ	SSALREZ	CDLREZ	CSALREZ	XNLREZ	XADLREZ	XASALREZ	PNLREZ	PADLREZ	PASALREZ	DCRMaZ	SACRMaZ	SDACRMaZ	SSACRMaZ	CDCRMaZ	CSACRMaZ	XNCRMaZ	XADCRMaZ	XASACRMaZ	PNCRMaZ	PADCRMaZ	PASACRMaZ	DCRMZ	SACRMZ	SDACRMZ	SSACRMZ	CDCRMZ	CSACRMZ	XNCRMZ	XADCRMZ	XASACRMZ	PNCRMZ	PADCRMZ	PASACRMZ	DCREZ	SACREZ	SDACREZ	SSACREZ	CDCREZ	CSACREZ	XNCREZ	XADCREZ	XASACREZ	PNCREZ	PADCREZ	PASACREZ
CIMBL48	tropical/subtropical	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0945	0.007	0.04	0.001	545	600000	5	0.0091	0.000060846	14	0.002	3.83E-06	0.0925	0.007	0.041	0.001	515	600000	5	0.0098	0.00007192	13	0.002846154	6.37E-06	0.0605	256620	0.0235	0.0004338	370	0.003	3	0.0075	4.02E-05	9	0.002	3.75E-06	0.0715	0.004	0.0235	0.0004424	480	355760	3	0.005166667	0.00002092	11	0.001636364	2.58E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.106	0.008	0.004095238	0.001	1019.047619	700000	6	0.00875	6.16E-05	17	0.002705882	6.03E-06	0.102	0.008	0.0475	0.002	545	600000	6	0.009833333	7.28E-05	17	0.003117647	6.93E-06
DAN599	tropical/subtropical	0.075	0.004	0.0395	0.001	355	300000	6	0.00825	5.28E-05	13	0.002538462	4.77E-06	0.066	0.003	0.036	0.001	300	200000	8	0.0074375	4.22E-05	18	0.0015	1.88E-06	0.077	0.005	0.0385	0.001	385	400000	6	0.009083333	6.71E-05	14	0.002214286	3.81E-06	0.0565	149420	0.0255	0.0005058	310	0.002	4	0.005625	2.51E-05	16	0.001625	1.76E-06	0.062	0.003	0.023	0.0003888	390	261120	4	0.004875	0.000021779	10	0.0017	2.19E-06	0.0555	0.002	0.024	0.0004697	315	153030	4	0.0065	3.48E-05	15	0.001587353	2.02E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.098	0.008	0.003666667	0.001	943.3333333	700000	7	0.006928571	3.61E-05	17	0.001647059	2.32E-06	0.088	0.005	0.039	0.001	490	400000	7	0.009	6.12E-05	18	0.001885822	2.87E-06
GEMS44	temperate	0.102	0.008	0.0425	0.001	595	700000	5	0.0103	0.000083158	14	0.002357143	5.24E-06	0.086	0.006	0.0385	0.001	475	500000	5	0.0084	0.000054616	14	0.002214286	4.58E-06	0.1105	0.009	0.0435	0.001	670	800000	5	0.0099	0.00007987	13	0.002461538	4.91E-06	0.063	239150	0.028	0.0006085	350	0.003	4	0.0075	0.000042105	9	0.002	3.13E-06	0.0575	0.003	0.025	0.0004743	325	252570	3	0.006666667	3.58E-05	11	0.001818182	2.41E-06	0.074	0.004	0.0275	0.0005923	465	340770	3	0.008166667	5.20E-05	10	0.002	3.32E-06	0.1055	0.008	0.059	0.003	465	500000	10	0.00895	NA	26	0.001653846	2.80E-06	0.098	0.008	0.005	0.002	930	600000	9	0.005944444	3.31E-05	25	0.00188	4.58E-06	0.1265	0.01	0.059	0.003	675	700000	10	0.00925	0.000069057	28	0.001933333	2.44E-06
YE515	temperate	0.1095	0.009	0.0445	0.002	650	700000	4	0.01225	0.00011497	13	0.003076923	7.25E-06	0.106	0.009	0.044	0.002	620	700000	4	0.01075	8.08E-05	13	0.002769231	5.13E-06	0.142	0.012	0.0455	0.002	965	1000000	4	0.0115	0.000099375	0	0.003076923	7.52E-06	0.0315	70635	0.0105	0.00008495	210	0.0007913	1	0.005	0.00001914	5	0.0014	1.21E-06	0.037	0.001	0.012	0.0001033	250	89670	1	0.0045	0.00001791	6	0.001333333	1.65E-06	0.033	0.0008849	0.011	0.0000978	220	78710	1	0.005	0.00002192	5	0.002	0.000001957	0.111	0.009	0.042	0.001	690	800000	3	0.011666667	0.000111353	11	0.003272727	7.68E-06	0.112	0.009	0.004142857	0.001	1078.571429	800000	3	0.011833333	0.000112963	11	0.003454545	8.07E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
238	temperate	0.084	0.006	0.038	0.001	460	500000	6	0.009416667	6.96E-05	13	0.002230769	4.38E-06	0.067	0.004	0.032	0.0008109	350	318910	4	0.007875	0.000053775	11	0.002181818	3.25E-06	0.092	0.007	0.039	0.001	530	600000	6	0.009166667	6.86E-05	13	0.002230769	0.000003538	0.0305	59898	0.011	0.00009732	195	0.0006963	1	0.005	0.00001643	5	0.0014	0.000001629	0.048	0.002	0.015	0.0001678	330	183220	3	0.003833333	1.22E-05	7	0.001142857	1.58E-06	0.0445	0.002	0.014	0.0001595	305	184050	2	0.0045	0.00001788	7	0.001127929	1.35E-06	0.1005	0.008	0.0415	0.001	590	700000	5	0.0115	0.000105838	16	0.002	2.92E-06	0.103	0.008	0.004	0.001	990	700000	5	0.01	0.000079946	15	0.001933333	3.46E-06	0.102	0.008	0.042	0.001	600	700000	5	0.0115	0.00009955	15	0.001666667	2.65E-06
LG001	temperate	0.0845	0.006	0.039	0.001	455	500000	4	0.012	0.000113948	12	0.00275	4.67E-06	0.095	0.007	0.04	0.001	550	600000	5	0.0094	0.000072318	14	0.002642857	5.37E-06	0.0855	0.006	0.0395	0.001	460	500000	5	0.0109	0.000092418	13	0.002384615	4.25E-06	0.0475	163280	0.0215	0.0003672	260	0.002	4	0.005625	2.66E-05	9	0.001555556	1.96E-06	0.049	0.002	0.022	0.0003346	270	166540	2	0.006	0.00002611	8	0.002	2.85E-06	0.0545	0.002	0.022	0.0003617	325	163830	2	0.00775	0.00004734	8	0.002125	2.90E-06	0.091	0.006	0.042	0.001	490	500000	5	0.0109	0.000092434	15	0.002533333	3.98E-06	0.0885	0.006	0.003952381	0.001	845.4761905	500000	6	0.00725	4.53E-05	16	0.0019375	2.18E-06	0.0965	0.007	0.0435	0.002	530	500000	6	0.009666667	0.000073675	17	0.002529412	5.40E-06
GY386	temperate	0.1175	0.01	0.0465	0.002	710	800000	5	0.0128	0.000124254	13	0.002384615	4.25E-06	0.111	0.009	0.042	0.001	690	800000	4	0.011125	0.000101673	13	0.002692308	0.000005451	0.115	0.009	0.045	0.002	700	700000	5	0.0125	0.00011708	13	0.002769231	5.60E-06	0.064	238090	0.028	0.0006191	360	0.003	4	0.00825	5.35E-05	9	0.002222222	3.93E-06	0.0535	0.002	0.018	0.0002531	355	174690	2	0.00725	0.00003977	7	0.002	2.75E-06	0.056	0.002	0.022	0.0003645	340	163550	4	0.005875	2.86E-05	9	0.001888889	1.95E-06	0.085	0.006	0.044	0.002	410	400000	7	0.010857143	8.79E-05	14	0.002642857	4.71E-06	0.1115	0.009	0.004190476	0.002	1073.095238	700000	6	0.011166667	0.000096075	14	0.002428571	3.64E-06	0.0995	0.007	0.042	0.001	575	600000	8	0.0093125	6.36E-05	16	0.0023125	3.95E-06
CIMBL86	tropical/subtropical	0.102	0.008	0.0395	0.001	625	700000	4	0.011625	0.00010672	14	0.003	5.90E-06	0.0975	0.008	0.035	0.001	625	700000	4	0.008125	0.0000485	13	0.002384615	4.40E-06	0.108	0.009	0.041	0.001	670	800000	4	0.011875	0.0001122	14	0.003	7.93E-06	0.035	88833	0.009	0.00007367	260	0.000962	2	0.00175	0.000003029	7	0.000928386	7.74E-07	0.0335	0.0009306	0.0095	0.0000728	240	85780	1	0.003	0.000006119	8	0.000878663	8.85E-07	0.0295	0.0007208	0.011	0.00009239	185	62841	1	0.005	0.00001779	6	0.001	1.68E-06	0.113	0.01	0.0445	0.002	685	800000	6	0.010416667	8.78E-05	15	0.002866667	6.29E-06	0.1025	0.008	0.003952381	0.001	985.4761905	700000	6	0.008833333	5.95E-05	14	0.003	6.89E-06	0.1075	0.009	0.042	0.001	655	800000	6	0.009833333	7.88E-05	15	0.002933333	6.93E-06
ES40	temperate	0.1005	0.008	0.0345	0.0009697	660	703030	4	0.0105	0.00007799	13	0.001692308	2.08E-06	0.0835	0.006	0.03	0.0007113	535	528870	4	0.008	5.00E-05	14	0.001263629	1.55E-06	0.0875	0.007	0.0315	0.0007449	560	625510	4	0.0085	0.00005392	14	0.001692308	1.70E-06	0.0335	81174	0.01	0.00008126	235	0.000893	1	0.004	0.000009672	5	0.00098038	1.02E-06	0.0385	0.001	0.0105	0.00008333	280	91667	1	0.004	0.00001415	7	0.0008239	7.84E-07	0.039	0.001	0.0105	0.00009324	285	90676	1	0.0045	0.00001438	6	0.000954383	8.45E-07	0.1085	0.008	0.0405	0.001	680	700000	5	0.0105	0.000086046	15	0.001733333	2.81E-06	0.091	0.007	0.003	0.0008234	880	617660	7	0.006857143	3.59E-05	7	0.002297686	1.03E-06	0.0925	0.007	0.034	0.0009766	585	602340	5	0.0084	0.000053866	14	0.00116365	1.28E-06
BY809	temperate	0.097	0.008	0.038	0.001	590	700000	3	0.011833333	0.00011069	11	0.003090909	5.76E-06	0.0835	0.006	0.036	0.001	475	500000	3	0.012	0.000116633	14	0.0025	4.79E-06	0.1015	0.008	0.0415	0.001	600	700000	3	0.015	0.000170167	0	0.003090909	6.38E-06	0.0405	83790	0.0145	0.0001621	260	0.001	2	0.006	0.00002192	7	0.001285714	1.45E-06	0.0345	0.0009593	0.0115	0.0001119	230	84740	1	0.004	0.00001385	7	0.001120843	1.23E-06	0.041	0.001	0.015	0.0001745	260	82550	1	0.007	0.00003704	7	0.001714286	0.000002112	0.09	0.006	0.043	0.002	470	400000	5	0.0105	0.000084124	13	0.002230769	0.000003976	0.0845	0.006	0.003285714	0.0009197	812.1428571	508030	3	0.0115	9.66E-05	12	0.002333333	4.43E-06	0.0995	0.008	0.0415	0.001	580	700000	5	0.0117	0.000100812	14	0.002285714	0.000003547
