ProjArea	RootVolume_PR
Y70	13.45	0.23
Y71	25.55	0.23
Y72	6.11	0.2
Y73	26.94	0.48
Y74	46.08	0.77
Y76	19.93	0.39
Y77	9.03	0.17
Y78	15.08	0.21
Y79	12.23	0.26
Y80	16.16	0.36
Y83	17.55	0.18
Y85	18.11	0.37
Y86	33.88	0.29
Y88	24.1	0.54
Y89	6.5	0.2
Y90	16.08	0.24
Y92	23.05	0.36
Y93	15.38	0.28
Y94	28.3	0.33
Y97	9.72	0.17
Y99	25.51	0.49
Y104	24.78	0.43
Y105	18.34	0.33
Y106	21.62	0.44
Y109	31.48	0.46
Y111	26.4	0.42
Y112	10.13	0.25
Y113	20.87	0.35
Y117	16.03	0.48
Y118	38.52	0.56
Y119	27.16	0.34
Y120	19.07	0.45
Y121	13.42	0.19
Y122	29.93	0.3
Y124	15.44	0.44
Y125	31.03	0.34
Y127	18.78	0.4
Y128	16.03	0.21
Y131	14.48	0.2
Y133	21.2	0.43
Y136	26.55	0.37
Y137	20.59	0.26
Y142	23.39	0.3
Y143	32.82	0.93
Y145	26.46	0.51
Y146	22.41	0.42
Y147	18.32	0.32
Y148	26.61	0.4
Y149	33.76	0.35
Y150	16.44	0.26
